iter	MultiClass
0	1.831742508
1	1.467546886
2	1.249619866
3	1.072895905
4	0.9577616464
5	0.8293076038
6	0.7243881837
7	0.6469586976
8	0.5843435194
9	0.5274185607
10	0.4783090463
11	0.4366624045
12	0.4029353355
13	0.3635268053
14	0.3314511996
15	0.3039512523
16	0.2796581611
17	0.2574839066
18	0.2387078903
19	0.2206105012
20	0.204410937
21	0.1900857829
22	0.1771345273
23	0.1650548597
24	0.1547860733
25	0.1447728799
26	0.1369062256
27	0.1284216994
28	0.1221491302
29	0.1148221976
30	0.1092308782
31	0.1058424372
32	0.1002600393
33	0.09653276713
34	0.09298437237
35	0.08758327298
36	0.08320589118
37	0.08064669627
38	0.07867577654
39	0.07657857356
40	0.07401714641
41	0.07104454109
42	0.06956324662
43	0.06864730572
44	0.06672430147
45	0.06567868613
46	0.06434843057
47	0.06333277113
48	0.06269846519
49	0.06157612379
50	0.06002832793
51	0.0591197548
52	0.05818718518
53	0.05759425047
54	0.05676612399
55	0.0546130131
56	0.05373527042
57	0.0517309435
58	0.05103455272
59	0.04946156241
60	0.04794899415
61	0.04767507555
62	0.04695955223
63	0.04615768687
64	0.04549553375
65	0.04464118441
66	0.04408422875
67	0.04301810642
68	0.0424890619
69	0.041871831
70	0.04130354039
71	0.04090984457
72	0.04015768852
73	0.03992542961
74	0.03929294118
75	0.03888000229
76	0.03820717395
77	0.03785037342
78	0.03756512725
79	0.03657413855
80	0.03625091345
81	0.03556828418
82	0.0353562077
83	0.03393096685
84	0.03343367946
85	0.03326618884
86	0.03308520148
87	0.03218364294
88	0.03141835891
89	0.03118644896
90	0.03032377781
91	0.02998313942
92	0.02976649143
93	0.02952994152
94	0.02931140908
95	0.02895062717
96	0.02882851114
97	0.02801212154
98	0.02727164273
99	0.02717931705
100	0.0271190068
101	0.02704197765
102	0.0266094524
103	0.02652609625
104	0.02639680551
105	0.02627833205
106	0.02574333707
107	0.02562211577
108	0.02538859735
109	0.02479815639
110	0.02466459188
111	0.02452646051
112	0.02436931134
113	0.02426290859
114	0.02418316692
115	0.02381185069
116	0.02361344939
117	0.02345927475
118	0.02330760115
119	0.02320781245
120	0.02266091288
121	0.02259442885
122	0.02250312183
123	0.02239303561
124	0.0223369211
125	0.02191234912
126	0.02159291022
127	0.0211046312
128	0.02104376785
129	0.02086081932
130	0.02071506848
131	0.02063365844
132	0.02053826154
133	0.02040760523
134	0.02027492786
135	0.0201869526
136	0.02010720894
137	0.02000530107
138	0.01943105484
139	0.01931862429
140	0.01912462372
141	0.01894384567
142	0.01859652983
143	0.01828513814
144	0.0181785138
145	0.01809719364
146	0.01805662115
147	0.01789654331
148	0.01775267751
149	0.01767133624
150	0.01756111336
151	0.01719268768
152	0.01717008146
153	0.0169084095
154	0.01659449436
155	0.01654267484
156	0.01650236142
157	0.01642209848
158	0.01625836575
159	0.01619640439
160	0.01612274376
161	0.01599559044
162	0.01586608344
163	0.01580310402
164	0.01558270048
165	0.01550825587
166	0.01545682061
